# timestamp;imu_1_accel x;imu_1_accel y;imu_1_accel z;imu_1_gyro x;imu_1_gyro y;imu_1_gyro z;imu_2_accel x;imu_2_accel y;imu_2_accel z;imu_2_gyro x;imu_2_gyro y;imu_2_gyro z;encoder_1;encoder_2;force_1;force_2
6.972133201627261023e+00;-1.508000000000000000e+03;4.240000000000000000e+02;1.595200000000000000e+04;4.790000000000000000e+02;-4.300000000000000000e+01;-3.100000000000000000e+01;-2.372000000000000000e+03;2.048000000000000000e+03;-1.724800000000000000e+04;-1.070000000000000000e+02;8.900000000000000000e+01;-1.070000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.024000000000000000e+03;0.000000000000000000e+00
6.990384859223143899e+00;-1.496000000000000000e+03;4.280000000000000000e+02;1.597600000000000000e+04;4.910000000000000000e+02;-4.300000000000000000e+01;-4.400000000000000000e+01;-2.400000000000000000e+03;2.088000000000000000e+03;-1.721600000000000000e+04;-1.510000000000000000e+02;9.000000000000000000e+01;-1.550000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.264000000000000000e+03;0.000000000000000000e+00
7.008636516819026774e+00;-1.476000000000000000e+03;4.440000000000000000e+02;1.578800000000000000e+04;5.080000000000000000e+02;3.000000000000000000e+01;-6.500000000000000000e+01;-2.404000000000000000e+03;2.128000000000000000e+03;-1.729600000000000000e+04;-1.290000000000000000e+02;1.070000000000000000e+02;-1.220000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.232000000000000000e+03;0.000000000000000000e+00
7.026888174414909649e+00;-1.512000000000000000e+03;4.560000000000000000e+02;1.598400000000000000e+04;5.170000000000000000e+02;3.100000000000000000e+01;-4.400000000000000000e+01;-2.348000000000000000e+03;2.032000000000000000e+03;-1.718000000000000000e+04;-1.290000000000000000e+02;8.300000000000000000e+01;-1.140000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.008000000000000000e+03;0.000000000000000000e+00
7.045139832010792524e+00;-1.520000000000000000e+03;3.800000000000000000e+02;1.592800000000000000e+04;4.750000000000000000e+02;1.100000000000000000e+01;-2.900000000000000000e+01;-2.356000000000000000e+03;2.072000000000000000e+03;-1.721200000000000000e+04;-1.370000000000000000e+02;1.060000000000000000e+02;-1.360000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.712000000000000000e+03;0.000000000000000000e+00
7.063391489606675400e+00;-1.468000000000000000e+03;4.440000000000000000e+02;1.600800000000000000e+04;5.300000000000000000e+02;-1.400000000000000000e+01;-5.200000000000000000e+01;-2.444000000000000000e+03;2.044000000000000000e+03;-1.715200000000000000e+04;-1.720000000000000000e+02;9.700000000000000000e+01;-1.330000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.136000000000000000e+03;0.000000000000000000e+00
7.081643147202558275e+00;-1.552000000000000000e+03;3.680000000000000000e+02;1.592000000000000000e+04;4.800000000000000000e+02;-1.400000000000000000e+01;-4.700000000000000000e+01;-2.408000000000000000e+03;2.064000000000000000e+03;-1.725200000000000000e+04;-1.550000000000000000e+02;8.300000000000000000e+01;-1.340000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.136000000000000000e+03;0.000000000000000000e+00
7.099894804798441150e+00;-1.560000000000000000e+03;4.440000000000000000e+02;1.589600000000000000e+04;5.300000000000000000e+02;-2.500000000000000000e+01;-3.900000000000000000e+01;-2.412000000000000000e+03;2.000000000000000000e+03;-1.726000000000000000e+04;-1.370000000000000000e+02;1.270000000000000000e+02;-1.230000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.232000000000000000e+03;0.000000000000000000e+00
7.118146462394324026e+00;-1.548000000000000000e+03;4.160000000000000000e+02;1.600000000000000000e+04;4.950000000000000000e+02;3.800000000000000000e+01;-4.000000000000000000e+01;-2.384000000000000000e+03;2.080000000000000000e+03;-1.719600000000000000e+04;-1.590000000000000000e+02;1.140000000000000000e+02;-1.160000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.136000000000000000e+03;0.000000000000000000e+00
7.136398119990206901e+00;-1.552000000000000000e+03;4.520000000000000000e+02;1.604400000000000000e+04;5.020000000000000000e+02;-2.200000000000000000e+01;-3.500000000000000000e+01;-2.424000000000000000e+03;2.080000000000000000e+03;-1.723200000000000000e+04;-1.550000000000000000e+02;9.000000000000000000e+01;-1.260000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.104000000000000000e+03;0.000000000000000000e+00
7.154649777586089776e+00;-1.548000000000000000e+03;4.320000000000000000e+02;1.589600000000000000e+04;5.150000000000000000e+02;5.000000000000000000e+01;-2.500000000000000000e+01;-2.408000000000000000e+03;2.012000000000000000e+03;-1.712000000000000000e+04;-1.370000000000000000e+02;8.700000000000000000e+01;-1.230000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.136000000000000000e+03;0.000000000000000000e+00
7.172901435181972651e+00;-1.512000000000000000e+03;4.640000000000000000e+02;1.601200000000000000e+04;4.840000000000000000e+02;-3.700000000000000000e+01;-4.700000000000000000e+01;-2.400000000000000000e+03;2.036000000000000000e+03;-1.722800000000000000e+04;-1.370000000000000000e+02;1.000000000000000000e+02;-1.330000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.072000000000000000e+03;0.000000000000000000e+00
7.191153092777855527e+00;-1.524000000000000000e+03;4.200000000000000000e+02;1.599600000000000000e+04;4.850000000000000000e+02;4.900000000000000000e+01;-4.400000000000000000e+01;-2.392000000000000000e+03;2.092000000000000000e+03;-1.722400000000000000e+04;-1.440000000000000000e+02;1.340000000000000000e+02;-1.300000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;7.840000000000000000e+02;0.000000000000000000e+00
7.209404750373738402e+00;-1.576000000000000000e+03;4.520000000000000000e+02;1.597600000000000000e+04;5.120000000000000000e+02;-2.000000000000000000e+01;-2.000000000000000000e+01;-2.388000000000000000e+03;2.092000000000000000e+03;-1.708400000000000000e+04;-1.610000000000000000e+02;5.300000000000000000e+01;-1.310000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.120000000000000000e+03;0.000000000000000000e+00
7.227656407969621277e+00;-1.540000000000000000e+03;4.280000000000000000e+02;1.604800000000000000e+04;4.820000000000000000e+02;-2.000000000000000000e+00;-2.600000000000000000e+01;-2.464000000000000000e+03;2.064000000000000000e+03;-1.710800000000000000e+04;-1.170000000000000000e+02;7.000000000000000000e+01;-1.560000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;8.640000000000000000e+02;0.000000000000000000e+00
7.245908065565504153e+00;-1.564000000000000000e+03;3.920000000000000000e+02;1.595600000000000000e+04;4.970000000000000000e+02;9.000000000000000000e+00;-6.100000000000000000e+01;-2.384000000000000000e+03;2.028000000000000000e+03;-1.714400000000000000e+04;-1.390000000000000000e+02;6.800000000000000000e+01;-1.440000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;9.280000000000000000e+02;0.000000000000000000e+00
7.264159723161387028e+00;-1.508000000000000000e+03;4.920000000000000000e+02;1.610800000000000000e+04;5.030000000000000000e+02;4.200000000000000000e+01;-1.800000000000000000e+01;-2.424000000000000000e+03;2.060000000000000000e+03;-1.715200000000000000e+04;-1.470000000000000000e+02;6.600000000000000000e+01;-1.070000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.200000000000000000e+03;0.000000000000000000e+00
7.282411380757269903e+00;-1.280000000000000000e+03;4.200000000000000000e+02;1.596800000000000000e+04;5.140000000000000000e+02;-1.200000000000000000e+01;-4.100000000000000000e+01;-2.360000000000000000e+03;2.088000000000000000e+03;-1.716800000000000000e+04;-1.710000000000000000e+02;1.040000000000000000e+02;-1.400000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.040000000000000000e+03;0.000000000000000000e+00
7.300663038353152778e+00;-1.556000000000000000e+03;4.440000000000000000e+02;1.595200000000000000e+04;5.000000000000000000e+02;2.000000000000000000e+01;-2.700000000000000000e+01;-2.384000000000000000e+03;2.000000000000000000e+03;-1.724800000000000000e+04;-1.640000000000000000e+02;8.200000000000000000e+01;-1.400000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.008000000000000000e+03;0.000000000000000000e+00
7.318914695949035654e+00;-1.520000000000000000e+03;4.200000000000000000e+02;1.599200000000000000e+04;5.060000000000000000e+02;-2.500000000000000000e+01;-4.000000000000000000e+01;-2.384000000000000000e+03;2.104000000000000000e+03;-1.720800000000000000e+04;-1.220000000000000000e+02;5.700000000000000000e+01;-1.400000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;7.680000000000000000e+02;0.000000000000000000e+00
7.337166353544918529e+00;-1.592000000000000000e+03;4.560000000000000000e+02;1.602800000000000000e+04;4.960000000000000000e+02;3.200000000000000000e+01;-4.400000000000000000e+01;-2.408000000000000000e+03;2.108000000000000000e+03;-1.718800000000000000e+04;-1.470000000000000000e+02;1.070000000000000000e+02;-1.460000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;6.720000000000000000e+02;0.000000000000000000e+00
7.355418011140801404e+00;-1.476000000000000000e+03;4.520000000000000000e+02;1.591200000000000000e+04;4.960000000000000000e+02;1.700000000000000000e+01;-2.600000000000000000e+01;-2.388000000000000000e+03;2.008000000000000000e+03;-1.714000000000000000e+04;-1.650000000000000000e+02;9.600000000000000000e+01;-1.140000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;3.200000000000000000e+01;0.000000000000000000e+00
7.373669668736684280e+00;-1.576000000000000000e+03;4.800000000000000000e+02;1.591200000000000000e+04;4.800000000000000000e+02;3.300000000000000000e+01;-5.800000000000000000e+01;-2.336000000000000000e+03;2.092000000000000000e+03;-1.718000000000000000e+04;-1.350000000000000000e+02;9.800000000000000000e+01;-1.190000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.392000000000000000e+03;0.000000000000000000e+00
7.391921326332567155e+00;-1.532000000000000000e+03;4.240000000000000000e+02;1.586000000000000000e+04;5.040000000000000000e+02;-2.300000000000000000e+01;-6.400000000000000000e+01;-2.308000000000000000e+03;2.024000000000000000e+03;-1.724800000000000000e+04;-1.370000000000000000e+02;9.500000000000000000e+01;-1.170000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;9.440000000000000000e+02;0.000000000000000000e+00
7.410172983928450030e+00;-1.544000000000000000e+03;4.000000000000000000e+02;1.601600000000000000e+04;5.240000000000000000e+02;6.000000000000000000e+00;-5.000000000000000000e+00;-2.424000000000000000e+03;2.044000000000000000e+03;-1.723200000000000000e+04;-1.480000000000000000e+02;1.070000000000000000e+02;-1.360000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;8.000000000000000000e+02;0.000000000000000000e+00
7.428424641524332905e+00;-1.576000000000000000e+03;4.280000000000000000e+02;1.595600000000000000e+04;5.150000000000000000e+02;-3.300000000000000000e+01;-3.800000000000000000e+01;-2.396000000000000000e+03;2.020000000000000000e+03;-1.716800000000000000e+04;-1.560000000000000000e+02;8.100000000000000000e+01;-1.290000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;7.360000000000000000e+02;0.000000000000000000e+00
7.446676299120215781e+00;-1.548000000000000000e+03;4.000000000000000000e+02;1.603200000000000000e+04;5.060000000000000000e+02;1.900000000000000000e+01;-3.100000000000000000e+01;-2.392000000000000000e+03;2.056000000000000000e+03;-1.715200000000000000e+04;-1.370000000000000000e+02;8.500000000000000000e+01;-1.130000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;7.520000000000000000e+02;0.000000000000000000e+00
7.464927956716098656e+00;-1.492000000000000000e+03;4.440000000000000000e+02;1.586400000000000000e+04;5.250000000000000000e+02;-5.300000000000000000e+01;-4.400000000000000000e+01;-2.372000000000000000e+03;2.052000000000000000e+03;-1.718800000000000000e+04;-1.500000000000000000e+02;8.100000000000000000e+01;-1.370000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;9.440000000000000000e+02;0.000000000000000000e+00
7.483179614311981531e+00;-1.524000000000000000e+03;4.640000000000000000e+02;1.592800000000000000e+04;4.940000000000000000e+02;-2.600000000000000000e+01;-2.900000000000000000e+01;-2.380000000000000000e+03;2.044000000000000000e+03;-1.711600000000000000e+04;-1.420000000000000000e+02;8.100000000000000000e+01;-1.130000000000000000e+02;3.000000000000000000e+00;0.000000000000000000e+00;1.328000000000000000e+03;0.000000000000000000e+00
7.501431271907864407e+00;-1.564000000000000000e+03;4.760000000000000000e+02;1.605600000000000000e+04;4.920000000000000000e+02;-4.100000000000000000e+01;-2.700000000000000000e+01;-2.416000000000000000e+03;2.036000000000000000e+03;-1.718400000000000000e+04;-1.370000000000000000e+02;7.400000000000000000e+01;-1.460000000000000000e+02;2.000000000000000000e+00;0.000000000000000000e+00;9.440000000000000000e+02;0.000000000000000000e+00
7.519682929503747282e+00;-1.548000000000000000e+03;4.640000000000000000e+02;1.592000000000000000e+04;4.730000000000000000e+02;-2.100000000000000000e+01;-1.100000000000000000e+01;-2.408000000000000000e+03;2.052000000000000000e+03;-1.725200000000000000e+04;-1.370000000000000000e+02;8.300000000000000000e+01;-9.000000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;8.320000000000000000e+02;0.000000000000000000e+00
7.537934587099630157e+00;-1.484000000000000000e+03;4.200000000000000000e+02;1.596800000000000000e+04;5.030000000000000000e+02;-5.700000000000000000e+01;-5.200000000000000000e+01;-2.352000000000000000e+03;2.088000000000000000e+03;-1.708800000000000000e+04;-1.360000000000000000e+02;1.140000000000000000e+02;-9.800000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;7.520000000000000000e+02;0.000000000000000000e+00
7.556186244695513032e+00;-1.584000000000000000e+03;4.600000000000000000e+02;1.604800000000000000e+04;4.830000000000000000e+02;-1.300000000000000000e+01;-4.400000000000000000e+01;-2.424000000000000000e+03;2.052000000000000000e+03;-1.716000000000000000e+04;-1.680000000000000000e+02;8.400000000000000000e+01;-1.310000000000000000e+02;2.000000000000000000e+00;0.000000000000000000e+00;9.920000000000000000e+02;0.000000000000000000e+00
7.574437902291395908e+00;-1.428000000000000000e+03;4.280000000000000000e+02;1.600800000000000000e+04;4.830000000000000000e+02;-1.400000000000000000e+01;-1.200000000000000000e+01;-2.404000000000000000e+03;2.008000000000000000e+03;-1.725200000000000000e+04;-1.420000000000000000e+02;1.110000000000000000e+02;-1.030000000000000000e+02;2.000000000000000000e+00;0.000000000000000000e+00;1.040000000000000000e+03;0.000000000000000000e+00
7.592689559887278783e+00;-1.552000000000000000e+03;4.600000000000000000e+02;1.590000000000000000e+04;5.290000000000000000e+02;-1.000000000000000000e+01;-3.000000000000000000e+01;-2.372000000000000000e+03;2.108000000000000000e+03;-1.721600000000000000e+04;-1.680000000000000000e+02;6.200000000000000000e+01;-1.240000000000000000e+02;2.000000000000000000e+00;0.000000000000000000e+00;1.120000000000000000e+03;0.000000000000000000e+00
7.610941217483161658e+00;-1.484000000000000000e+03;4.600000000000000000e+02;1.590800000000000000e+04;5.020000000000000000e+02;-1.000000000000000000e+00;-2.300000000000000000e+01;-2.376000000000000000e+03;2.012000000000000000e+03;-1.719600000000000000e+04;-1.280000000000000000e+02;1.180000000000000000e+02;-1.230000000000000000e+02;2.000000000000000000e+00;0.000000000000000000e+00;6.720000000000000000e+02;0.000000000000000000e+00
7.629192875079044533e+00;-1.552000000000000000e+03;4.600000000000000000e+02;1.598000000000000000e+04;4.770000000000000000e+02;-7.000000000000000000e+00;-4.700000000000000000e+01;-2.336000000000000000e+03;2.096000000000000000e+03;-1.716800000000000000e+04;-1.280000000000000000e+02;7.000000000000000000e+01;-1.090000000000000000e+02;2.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+03;0.000000000000000000e+00
7.647444532674927409e+00;-1.580000000000000000e+03;3.480000000000000000e+02;1.601600000000000000e+04;5.320000000000000000e+02;-2.500000000000000000e+01;-5.000000000000000000e+01;-2.348000000000000000e+03;2.064000000000000000e+03;-1.722400000000000000e+04;-1.400000000000000000e+02;8.400000000000000000e+01;-1.090000000000000000e+02;2.000000000000000000e+00;0.000000000000000000e+00;7.680000000000000000e+02;0.000000000000000000e+00
