# torque;speed;phase_a;phase_b;phase_c;angle;encoder;rotations;voltage;temperature
2.929687500000000000e-02;4.729999999999999716e+01;-1.093750000000000000e-01;-1.562500000000000000e-02;1.250000000000000000e-01;6.642699999999999818e+02;3.025400000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.980468750000000000e-02;4.170000000000000284e+01;-1.718750000000000000e-01;2.500000000000000000e-01;-7.812500000000000000e-02;6.727300000000000182e+02;3.063900000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;3.210000000000000142e+01;-6.250000000000000000e-02;2.187500000000000000e-01;-1.562500000000000000e-01;6.821100000000000136e+02;3.105800000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.757812500000000000e-02;2.589999999999999858e+01;-3.125000000000000000e-02;4.687500000000000000e-02;-1.562500000000000000e-02;6.908999999999999773e+02;3.146000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.929687500000000000e-02;2.919999999999999929e+01;1.875000000000000000e-01;-1.250000000000000000e-01;-6.250000000000000000e-02;6.997599999999999909e+02;3.186400000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
8.789062500000000000e-03;3.629999999999999716e+01;-1.093750000000000000e-01;-1.562500000000000000e-02;1.250000000000000000e-01;7.086599999999999682e+02;3.227300000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.464843750000000000e-02;5.010000000000000142e+01;-1.093750000000000000e-01;0.000000000000000000e+00;1.093750000000000000e-01;7.161499999999999773e+02;3.261500000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;4.279999999999999716e+01;-1.406250000000000000e-01;6.250000000000000000e-02;7.812500000000000000e-02;7.243700000000000045e+02;3.298500000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.687500000000000000e-02;3.679999999999999716e+01;-7.812500000000000000e-02;1.875000000000000000e-01;-1.093750000000000000e-01;7.339700000000000273e+02;3.342100000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
7.910156250000000000e-02;3.650000000000000000e+01;2.812500000000000000e-01;-4.687500000000000000e-02;-2.343750000000000000e-01;7.426499999999999773e+02;3.382300000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.394531250000000000e-02;2.760000000000000142e+01;2.187500000000000000e-01;-2.031250000000000000e-01;-1.562500000000000000e-02;7.526000000000000227e+02;3.426500000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;2.210000000000000142e+01;-1.406250000000000000e-01;-9.375000000000000000e-02;2.343750000000000000e-01;7.622300000000000182e+02;3.470000000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;3.060000000000000142e+01;-2.187500000000000000e-01;0.000000000000000000e+00;2.187500000000000000e-01;7.695700000000000500e+02;3.503700000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;4.860000000000000142e+01;-7.812500000000000000e-02;4.687500000000000000e-02;3.125000000000000000e-02;7.779400000000000546e+02;3.542900000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.757812500000000000e-02;4.579999999999999716e+01;-4.687500000000000000e-02;1.562500000000000000e-01;-1.093750000000000000e-01;7.861800000000000637e+02;3.580400000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.929687500000000000e-02;4.500000000000000000e+01;-9.375000000000000000e-02;3.125000000000000000e-02;6.250000000000000000e-02;7.946399999999999864e+02;3.619100000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.171875000000000000e-02;4.429999999999999716e+01;1.406250000000000000e-01;-4.687500000000000000e-02;-9.375000000000000000e-02;8.036200000000000045e+02;3.659800000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;4.170000000000000284e+01;-1.250000000000000000e-01;-7.812500000000000000e-02;2.031250000000000000e-01;8.128300000000000409e+02;3.701100000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.273437500000000000e-02;4.020000000000000284e+01;-1.875000000000000000e-01;3.125000000000000000e-02;1.562500000000000000e-01;8.218799999999999955e+02;3.742200000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;2.880000000000000071e+01;-1.718750000000000000e-01;1.718750000000000000e-01;0.000000000000000000e+00;8.310199999999999818e+02;3.783100000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
